,bw
5079,1583.6067
5086,1607.1548
5093,1576.904
5100,1576.904
5107,1579.4463
5114,1536.3027
5121,1573.3436
5128,1573.3436
5135,1637.8964
5142,1678.704
5149,1678.704
5156,1709.2943
5163,1681.047
5170,1681.047
5177,1620.7563
5184,1592.2705
5191,1592.2705
5198,1620.1898
5205,1658.9412
5212,1658.9412
5219,1627.9244
5226,1596.0299
5233,1596.0299
5240,1625.7708
5247,1691.4253
5254,1691.4253
5261,1681.0504
5268,1678.3395
5275,1678.3395
5282,1600.9209
5289,1633.3733
5296,1633.3733
5303,1638.9353
5310,1703.7365
5317,1703.7365
5324,1725.7356
5331,1760.0435
5338,1760.0435
5345,1759.0068
5352,1659.7681
5359,1659.7681
5366,1620.6981
5373,1636.9264
5380,1636.9264
5387,1638.7196
5394,1691.7034
5401,1691.7034
5408,1640.1033
5415,1577.6401
5422,1577.6401
5429,1631.7939999999999
5436,1637.5865
5443,1637.5865
5450,1685.4402
5457,1789.4105
5464,1789.4105
5471,1812.3237
5478,1735.1359
5485,1765.4209
5492,1765.4209
5499,1747.4528
5506,1715.6172
5513,1715.6172
5520,1727.5642
5527,1722.8865
5534,1722.8865
5541,1749.7268
5548,1740.3674
5555,1740.3674
5562,1761.043
5569,1828.1565
5576,1828.1565
5583,1844.6532
5590,1820.1904
5597,1820.1904
5604,1824.779
5611,1792.0345
5618,1792.0345
5625,1837.781
5632,1832.5443
5639,1832.5443
5646,1818.8789
5653,1874.8105
5660,1874.8105
5667,2024.021
5674,1985.1514
5681,1985.1514
5688,1990.3412
5695,1917.4231
5702,1917.4231
5709,1904.3789
5716,1871.8904
5723,1871.8904
5730,1908.0020000000002
5737,1973.0435
5744,1973.0435
5751,1985.9603
5758,1992.8093
5765,1992.8093
5772,2000.5668
5779,1916.4294
5786,1916.4294
5793,1978.8561
5800,2041.4717
5807,2041.4717
5814,2038.1852
5821,2099.1924
5828,2099.1924
5835,2028.4137
5842,1958.6184
5849,1958.6184
5856,1991.5613
5863,1967.6199
5870,1960.7848
5877,1960.7848
5884,1940.5837
5891,1968.9098
5898,1968.9098
5905,1918.0286
5912,1998.4648
5919,1998.4648
5926,1945.7985
5933,1984.9129999999998
5940,1984.9129999999998
5947,1934.224
5954,1985.4175
5961,1985.4175
5968,2026.4231
5975,1934.2534
5982,1934.2534
5989,2062.8218
5996,2015.5892
6003,2015.5892
6010,1989.0887
6017,2037.6003
6024,2037.6003
6031,2051.1401
6038,1986.5021
6045,1986.5021
6052,2022.2882
6059,2065.7529999999997
6066,2065.7529999999997
6073,2092.6694
6080,2086.5667
6087,2086.5667
6094,2101.7188
6101,2111.8704
6108,2111.8704
6115,2026.0095
6122,2086.3635
6129,2086.3635
6136,2047.8914
6143,2095.6462
6150,2095.6462
6157,2103.333
6164,2072.8867
6171,2072.8867
6178,2128.2205
6185,2137.592
6192,2137.592
6199,2106.603
6206,2142.9978
6213,2142.9978
6220,2182.6025
6227,2165.0688
6234,2165.0688
6241,2189.1748
6248,2150.0303
6255,2150.0303
6262,2201.4570000000003
6269,2165.1812
6276,2165.1812
6283,2201.0896
6290,2140.6907
6297,2140.6907
6304,2186.5657
6311,2151.725
6318,2154.363
6325,2154.363
6332,2120.9956
6339,2101.3298
6346,2101.3298
6353,2109.8794
6360,2191.2073
6365,2191.2073
6370,2237.8386
6377,2265.295
6384,2265.295
6391,2231.5127
6398,2198.4453
6405,2198.4453
6412,2178.2124
6419,2143.0454
6426,2143.0454
6433,2152.958
6440,2119.7925
6447,2119.7925
6454,2087.6846
6461,2044.8059
6468,2044.8059
6475,2209.855
6482,2198.1184
6489,2198.1184
6496,2221.1863
6503,2227.456
6510,2227.456
6517,2202.6494
6524,2231.702
6531,2231.702
6538,2180.597
6545,2114.2424
6552,2114.2424
6559,2137.5298
6566,2181.7075
6573,2181.7075
6580,2149.803
6587,2118.9126
6594,2118.9126
6601,2185.2935
6608,2138.4514
6615,2138.4514
6622,2112.3743
6629,2135.5793
6636,2135.5793
6643,2148.1414
6650,2163.947
6657,2163.947
6664,2190.6672
6671,2175.572
6678,2175.572
6685,2234.612
6692,2281.4292
6699,2281.4292
6706,2292.271
6713,2301.5056
6720,2301.5056
6727,2261.6963
6734,2252.9934
6741,2252.9934
6748,2175.8442
6755,2218.5312
6762,2218.5312
6769,2227.6384
6776,2196.261
6783,2269.9907
6790,2269.9907
6797,2243.6628
6804,2288.8872
6811,2288.8872
6818,2213.491
6825,2232.7529999999997
6832,2232.7529999999997
6839,2245.9834
6846,2294.5105
6853,2294.5105
6860,2306.286
6867,2217.406
6874,2217.406
6881,2241.9736
6888,2253.46
6895,2253.46
6902,2257.034
6909,2239.6287
6916,2239.6287
6923,2355.8765
6930,2253.001
6937,2253.001
6944,2297.2166
6951,2299.1636
6958,2299.1636
6965,2461.5154
6972,2325.9763
6979,2325.9763
6986,2445.365
6993,2475.1545
7000,2475.1545
7007,2458.0166
7014,2464.9011
7021,2464.9011
7028,2392.7505
7035,2424.5977
7042,2424.5977
7049,2571.1904
7056,2558.4348
7063,2558.4348
7070,2638.8538
7077,2565.9478
7084,2565.9478
7091,2615.9297
7098,2653.5457
7105,2653.5457
7112,2580.949
7119,2505.2893
7126,2505.2893
7133,2513.466
7140,2524.8818
7147,2524.8818
7154,2512.849
7161,2537.303
7168,2537.303
7175,2509.83
7182,2487.83
7189,2487.83
7196,2545.6025
7203,2455.2654
7210,2376.5334
7217,2376.5334
7224,2441.22
7231,2497.6694
7238,2497.6694
7245,2541.6418
7252,2508.9573
7259,2508.9573
7266,2572.2837
7273,2555.8720000000003
7280,2555.8720000000003
7287,2518.8052
7294,2488.595
7301,2488.595
7308,2505.9963
7315,2452.4339999999997
7322,2452.4339999999997
7329,2401.1506
7336,2437.5632
7343,2437.5632
7350,2515.821
7357,2430.903
7364,2430.903
7371,2408.5156
7378,2475.1646
7385,2475.1646
7392,2483.9829999999997
7399,2441.7102
7406,2441.7102
7413,2517.1436
7420,2536.0522
7427,2536.0522
